"","observation_path","chamber_path","committee_path","observation_number","chamber_number","committee_number","committee_name","parent_name","past_names","type","committee_id"
"11","/chamber-1/committee-11","/chamber-1","/chamber-1/committee-11",11,1,11,"Aviation","House Committee on Public Works","{'Aviation': [97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114]}","housesub",""
"12","/chamber-1/committee-12","/chamber-1","/chamber-1/committee-12",12,1,12,"Border, Maritime, and Global Counterterrorism","House Committee on Homeland Security (Select)","{'Border, Maritime, and Global Counterterrorism': [110, 111], 'Border and Maritime Security': [112, 113, 114]}","housesub",""
"13","/chamber-1/committee-13","/chamber-1","/chamber-1/committee-13",13,1,13,"Capital Markets, Insurance and Government-Sponsored Enterprises","House Committee on Banking and Currency","{'Capital Markets, Insurance and Government-Sponsored Enterprises': [104], 'Capital Markets, Securities and Government Sponsored Enterprises': [105, 106], 'Capital Markets, Insurance and Government Sponsored Enterprises': [107, 108, 109, 110], 'Capital Markets and Government Sponsored Enterprises': [112, 113, 114]}","housesub",""
"14","/chamber-1/committee-14","/chamber-1","/chamber-1/committee-14",14,1,14,"Census","House Committee on Government Operations","{'Census': [105, 106, 107]}","housesub",""
"15","/chamber-1/committee-15","/chamber-1","/chamber-1/committee-15",15,1,15,"Census and Population","House Committee on Post Office and Civil Service","{'Census and Population': [97, 98, 99, 100, 101, 102]}","housesub",""
"16","/chamber-1/committee-16","/chamber-1","/chamber-1/committee-16",16,1,16,"Census, Statistics and Postal Personnel","House Committee on Post Office and Civil Service","{'Census, Statistics and Postal Personnel': [103]}","housesub",""
"17","/chamber-1/committee-17","/chamber-1","/chamber-1/committee-17",17,1,17,"Civil and Constitutional Rights","House Committee on Judiciary","{'Civil and Constitutional Rights': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"18","/chamber-1/committee-18","/chamber-1","/chamber-1/committee-18",18,1,18,"Civil Service","House Committee on Post Office and Civil Service","{'Civil Service': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"19","/chamber-1/committee-19","/chamber-1","/chamber-1/committee-19",19,1,19,"Civil Service","House Committee on Government Operations","{'Civil Service': [104, 105, 106], 'Civil Service and Agency Organization': [107]}","housesub",""
"20","/chamber-1/committee-20","/chamber-1","/chamber-1/committee-20",20,1,20,"Civil Service and Agency Organization","House Committee on Government Operations","{'Civil Service and Agency Organization': [108]}","housesub",""
"21","/chamber-1/committee-21","/chamber-1","/chamber-1/committee-21",21,1,21,"Coast Guard and Maritime Transportation","House Committee on Public Works","{'Coast Guard and Maritime Transportation': [104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114]}","housesub",""
"22","/chamber-1/committee-22","/chamber-1","/chamber-1/committee-22",22,1,22,"Coast Guard and Navigation","House Committee on Merchant Marine and Fisheries","{'Coast Guard and Navigation': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"23","/chamber-1/committee-23","/chamber-1","/chamber-1/committee-23",23,1,23,"Commerce, Consumer, and Monetary Affairs","House Committee on Government Operations","{'Commerce, Consumer, and Monetary Affairs': [97, 100]}","housesub",""
"24","/chamber-1/committee-24","/chamber-1","/chamber-1/committee-24",24,1,24,"Commerce, Justice, State, and the Judiciary","House Committee on Appropriations","{'Commerce, Justice, State, and the Judiciary': [97], 'Commerce, Justice, State, and Judiciary': [98, 99, 102, 103, 104, 105], 'Commerce, Justice, State, the Judiciary, and Related Agencies': [100]}","housesub",""
"25","/chamber-1/committee-25","/chamber-1","/chamber-1/committee-25",25,1,25,"Commerce, Trade and Consumer Protection","House Committee on Interstate and Foreign Commerce","{'Commerce, Trade and Consumer Protection': [107, 108, 109, 110, 111], 'Commerce, Manufacturing, and Trade': [112, 113, 114]}","housesub",""
"26","/chamber-1/committee-26","/chamber-1","/chamber-1/committee-26",26,1,26,"Commerce, Trade, and Hazardous Materials","House Committee on Interstate and Foreign Commerce","{'Commerce, Trade, and Hazardous Materials': [104]}","housesub",""
"27","/chamber-1/committee-27","/chamber-1","/chamber-1/committee-27",27,1,27,"Commerce, Transportation and Tourism","House Committee on Interstate and Foreign Commerce","{'Commerce, Transportation and Tourism': [97, 98, 99], 'Commerce, Consumer Protection, and Competitiveness': [100, 101, 102, 103]}","housesub",""
"28","/chamber-1/committee-28","/chamber-1","/chamber-1/committee-28",28,1,28,"Commercial and Administrative Law","House Committee on Judiciary","{'Commercial and Administrative Law': [104, 105, 106, 107, 108, 109, 110, 111]}","housesub",""
"29","/chamber-1/committee-29","/chamber-1","/chamber-1/committee-29",29,1,29,"Compensation and Employee Benefits","House Committee on Post Office and Civil Service","{'Compensation and Employee Benefits': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"30","/chamber-1/committee-30","/chamber-1","/chamber-1/committee-30",30,1,30,"Compensation, Pension and Insurance","House Committee on Veterans' Affairs","{'Compensation, Pension and Insurance': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"31","/chamber-1/committee-31","/chamber-1","/chamber-1/committee-31",31,1,31,"Compensation, Pension, Insurance, and Memorial Affairs","House Committee on Veterans' Affairs","{'Compensation, Pension, Insurance, and Memorial Affairs': [104], 'Benefits': [105, 106, 107, 108]}","housesub",""
"32","/chamber-1/committee-32","/chamber-1","/chamber-1/committee-32",32,1,32,"Conservation, Credit, and Rural Development","House Committee on Agriculture","{'Conservation, Credit, and Rural Development': [97, 98, 99, 100, 101, 102], 'Environment, Credit and Rural Development': [103]}","housesub",""
"33","/chamber-1/committee-33","/chamber-1","/chamber-1/committee-33",33,1,33,"Conservation, Credit, Rural Development, and Research","House Committee on Agriculture","{'Conservation, Credit, Rural Development, and Research': [107, 108, 109], 'Conservation, Credit, Energy, and Research': [110, 111], 'Conservation, Energy, and Forestry': [112, 113], 'Conservation and Forestry': [114]}","housesub",""
"34","/chamber-1/committee-34","/chamber-1","/chamber-1/committee-34",34,1,34,"Constitution","House Committee on Judiciary","{'Constitution': [104, 105, 106, 107, 108, 109, 112], 'Constitution, Civil Rights, and Civil Liberties': [110, 111], 'Constitution and Civil Justice': [113, 114]}","housesub",""
"35","/chamber-1/committee-35","/chamber-1","/chamber-1/committee-35",35,1,35,"Consumer Affairs and Coinage","House Committee on Banking and Currency","{'Consumer Affairs and Coinage': [97, 98, 99, 100, 101, 102]}","housesub",""
"36","/chamber-1/committee-36","/chamber-1","/chamber-1/committee-36",36,1,36,"Consumer Credit and Insurance","House Committee on Banking and Currency","{'Consumer Credit and Insurance': [103]}","housesub",""
"37","/chamber-1/committee-37","/chamber-1","/chamber-1/committee-37",37,1,37,"Contracting and Technology","House Committee on Small Business","{'Contracting and Technology': [111]}","housesub",""
"38","/chamber-1/committee-38","/chamber-1","/chamber-1/committee-38",38,1,38,"Contracts and Printing","House Committee on House Administration","{'Contracts and Printing': [97, 98], 'Procurement and Printing': [99, 100, 101, 102]}","housesub",""
"39","/chamber-1/committee-39","/chamber-1","/chamber-1/committee-39",39,1,39,"Cotton, Rice, and Sugar","House Committee on Agriculture","{'Cotton, Rice, and Sugar': [97, 98, 99, 100, 101, 102]}","housesub",""
"40","/chamber-1/committee-40","/chamber-1","/chamber-1/committee-40",40,1,40,"Courts, Civil Liberties, and the Administration of Justice","House Committee on Judiciary","{'Courts, Civil Liberties, and the Administration of Justice': [97, 98, 99, 100], 'Courts, Intellectual Property, and the Administration of Justice': [101], 'Intellectual Property and Judicial Administration': [102, 103], 'Courts and Intellectual Property': [104, 105, 106], 'Courts, the Internet, and Intellectual Property': [107, 108, 109, 110], 'Courts and Competition Policy': [111], 'Courts, Commercial and Administrative Law': [112], 'Courts, Intellectual Property, and the Internet': [113, 114]}","housesub",""
"41","/chamber-1/committee-41","/chamber-1","/chamber-1/committee-41",41,1,41,"Crime","House Committee on Judiciary","{'Crime': [97, 98, 99, 100, 101]}","housesub",""
"42","/chamber-1/committee-42","/chamber-1","/chamber-1/committee-42",42,1,42,"Crime and Criminal Justice","House Committee on Judiciary","{'Crime and Criminal Justice': [102, 103], 'Crime': [104, 105, 106, 107], 'Crime, Terrorism, and Homeland Security': [108, 109, 110, 111, 112], 'Crime, Terrorism, Homeland Security, and Investigations': [113, 114]}","housesub",""
"43","/chamber-1/committee-43","/chamber-1","/chamber-1/committee-43",43,1,43,"Criminal Justice","House Committee on Judiciary","{'Criminal Justice': [97, 98, 99, 100, 101]}","housesub",""
"44","/chamber-1/committee-44","/chamber-1","/chamber-1/committee-44",44,1,44,"Criminal Justice, Drug Policy and Human Resources","House Committee on Government Operations","{'Criminal Justice, Drug Policy and Human Resources': [106, 107, 108]}","housesub",""
"45","/chamber-1/committee-45","/chamber-1","/chamber-1/committee-45",45,1,45,"Cybersecurity, Science, and Research and Development","House Committee on Homeland Security (Select)","{'Cybersecurity, Science, and Research and Development': [108]}","housesub",""
"46","/chamber-1/committee-46","/chamber-1","/chamber-1/committee-46",46,1,46,"Defense","House Committee on Appropriations","{'Defense': [97, 98, 99, 100, 102, 103], 'National Security': [104, 105]}","housesub",""
"47","/chamber-1/committee-47","/chamber-1","/chamber-1/committee-47",47,1,47,"Department Operations and Nutrition","House Committee on Agriculture","{'Department Operations and Nutrition': [103]}","housesub",""
"48","/chamber-1/committee-48","/chamber-1","/chamber-1/committee-48",48,1,48,"Department Operations, Nutrition and Foreign Agriculture","House Committee on Agriculture","{'Department Operations, Nutrition and Foreign Agriculture': [104, 105]}","housesub",""
"49","/chamber-1/committee-49","/chamber-1","/chamber-1/committee-49",49,1,49,"Department Operations, Oversight, Nutrition, and Forestry","House Committee on Agriculture","{'Department Operations, Oversight, Nutrition, and Forestry': [106, 107, 108], 'Department Operations, Oversight, Dairy, Nutrition, and Forestry': [109], 'Department Operations, Oversight, Nutrition and Forestry': [110, 111], 'Department Operations, Oversight, and Credit': [112], 'Department Operations, Oversight, and Nutrition': [113], 'Commodity Exchanges, Energy, and Credit': [114]}","housesub",""
"50","/chamber-1/committee-50","/chamber-1","/chamber-1/committee-50",50,1,50,"Department Operations, Research, and Foreign Agriculture","House Committee on Agriculture","{'Department Operations, Research, and Foreign Agriculture': [97, 98, 99, 100, 101, 102]}","housesub",""
"51","/chamber-1/committee-51","/chamber-1","/chamber-1/committee-51",51,1,51,"Disability Assistance and Memorial Affairs","House Committee on Veterans' Affairs","{'Disability Assistance and Memorial Affairs': [109, 110, 111, 112, 113, 114]}","housesub",""
"52","/chamber-1/committee-52","/chamber-1","/chamber-1/committee-52",52,1,52,"District of Columbia","House Committee on Appropriations","{'District of Columbia': [97, 98, 99, 100, 102, 103, 104, 105]}","housesub",""
"53","/chamber-1/committee-53","/chamber-1","/chamber-1/committee-53",53,1,53,"District of Columbia","House Committee on Government Operations","{'District of Columbia': [104, 105, 106, 107]}","housesub",""
"54","/chamber-1/committee-54","/chamber-1","/chamber-1/committee-54",54,1,54,"Domestic and International Monetary Policy, Trade, and Technology","House Committee on Banking and Currency","{'Domestic and International Monetary Policy, Trade, and Technology': [108, 109, 110], 'Domestic Monetary Policy and Technology': [112]}","housesub",""
"55","/chamber-1/committee-55","/chamber-1","/chamber-1/committee-55",55,1,55,"Domestic Marketing, Consumer Relations, and Nutrition","House Committee on Agriculture","{'Domestic Marketing, Consumer Relations, and Nutrition': [97, 98, 99, 100, 101, 102]}","housesub",""
"56","/chamber-1/committee-56","/chamber-1","/chamber-1/committee-56",56,1,56,"Domestic Monetary Policy","House Committee on Banking and Currency","{'Domestic Monetary Policy': [97, 98, 99, 100, 101, 102]}","housesub",""
"57","/chamber-1/committee-57","/chamber-1","/chamber-1/committee-57",57,1,57,"Domestic Monetary Policy, Technology, and Economic Growth","House Committee on Banking and Currency","{'Domestic Monetary Policy, Technology, and Economic Growth': [107]}","housesub",""
"58","/chamber-1/committee-58","/chamber-1","/chamber-1/committee-58",58,1,58,"Early Childhood, Youth and Families","House Committee on Education and Labor","{'Early Childhood, Youth and Families': [104, 105, 106]}","housesub",""
"59","/chamber-1/committee-59","/chamber-1","/chamber-1/committee-59",59,1,59,"Economic Development","House Committee on Public Works","{'Economic Development': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"60","/chamber-1/committee-60","/chamber-1","/chamber-1/committee-60",60,1,60,"Economic Development, Public Buildings and Emergency Management","House Committee on Public Works","{'Economic Development, Public Buildings and Emergency Management': [107, 108, 109, 110, 111, 112, 113, 114]}","housesub",""
"61","/chamber-1/committee-61","/chamber-1","/chamber-1/committee-61",61,1,61,"Economic Growth and Credit Formation","House Committee on Banking and Currency","{'Economic Growth and Credit Formation': [103]}","housesub",""
"62","/chamber-1/committee-62","/chamber-1","/chamber-1/committee-62",62,1,62,"Economic Opportunity","House Committee on Veterans' Affairs","{'Economic Opportunity': [109, 110, 111, 112, 113, 114]}","housesub",""
"63","/chamber-1/committee-63","/chamber-1","/chamber-1/committee-63",63,1,63,"Economic Security, Infrastructure Protection, and Cybersecurity","House Committee on Homeland Security (Select)","{'Economic Security, Infrastructure Protection, and Cybersecurity': [109], 'Transportation Security and Infrastructure Protection': [110, 111], 'Transportation Security': [112, 113, 114]}","housesub",""
"64","/chamber-1/committee-64","/chamber-1","/chamber-1/committee-64",64,1,64,"Economic Stabilization","House Committee on Banking and Currency","{'Economic Stabilization': [97, 98, 99, 100, 101, 102]}","housesub",""
"65","/chamber-1/committee-65","/chamber-1","/chamber-1/committee-65",65,1,65,"Education Reform","House Committee on Education and Labor","{'Education Reform': [107, 108, 109], 'Early Childhood, Elementary, and Secondary Education': [110, 111, 112, 113, 114]}","housesub",""
"66","/chamber-1/committee-66","/chamber-1","/chamber-1/committee-66",66,1,66,"Education, Training and Employment","House Committee on Veterans' Affairs","{'Education, Training and Employment': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"67","/chamber-1/committee-67","/chamber-1","/chamber-1/committee-67",67,1,67,"Education, Training, Employment and Housing","House Committee on Veterans' Affairs","{'Education, Training, Employment and Housing': [104]}","housesub",""
"68","/chamber-1/committee-68","/chamber-1","/chamber-1/committee-68",68,1,68,"Elections","House Committee on House Administration","{'Elections': [99, 100, 101, 102, 103, 110, 112]}","housesub",""
"69","/chamber-1/committee-69","/chamber-1","/chamber-1/committee-69",69,1,69,"Elementary, Secondary, and Vocational Education","House Committee on Education and Labor","{'Elementary, Secondary, and Vocational Education': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"70","/chamber-1/committee-70","/chamber-1","/chamber-1/committee-70",70,1,70,"Emergency Communications, Preparedness, and Response","House Committee on Homeland Security (Select)","{'Emergency Communications, Preparedness, and Response': [110, 111], 'Emergency Preparedness, Response, and Communications': [112, 113, 114]}","housesub",""
"71","/chamber-1/committee-71","/chamber-1","/chamber-1/committee-71",71,1,71,"Emergency Preparedness and Response","House Committee on Homeland Security (Select)","{'Emergency Preparedness and Response': [108]}","housesub",""
"72","/chamber-1/committee-72","/chamber-1","/chamber-1/committee-72",72,1,72,"Emergency Preparedness, Science, and Technology","House Committee on Homeland Security (Select)","{'Emergency Preparedness, Science, and Technology': [109], 'Emerging Threats, Cybersecurity, and Science and Technology': [110, 111], 'Cybersecurity, Infrastructure Protection, and Security Technologies': [112, 113, 114]}","housesub",""
"73","/chamber-1/committee-73","/chamber-1","/chamber-1/committee-73",73,1,73,"Employment Opportunities","House Committee on Education and Labor","{'Employment Opportunities': [97, 98, 99, 100, 101, 102]}","housesub",""
"74","/chamber-1/committee-74","/chamber-1","/chamber-1/committee-74",74,1,74,"Energy","House Committee on Science and Astronautics","{'Energy': [107, 108, 109, 113, 114], 'Energy and Environment': [110, 111, 112]}","housesub",""
"75","/chamber-1/committee-75","/chamber-1","/chamber-1/committee-75",75,1,75,"Energy and Environment","House Committee on Science and Astronautics","{'Energy and Environment': [104, 105, 106], 'Environment': [113, 114]}","housesub",""
"76","/chamber-1/committee-76","/chamber-1","/chamber-1/committee-76",76,1,76,"Energy and the Environment","House Committee on Interior and Insular Affairs","{'Energy and the Environment': [97, 98, 99, 100, 101, 102], 'Energy and Mineral Resources': [103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114]}","housesub",""
"77","/chamber-1/committee-77","/chamber-1","/chamber-1/committee-77",77,1,77,"Energy and Water","House Committee on Appropriations","{'Energy and Water': [97], 'Energy and Water Development': [98, 99, 100, 102, 103, 104, 105]}","housesub",""
"78","/chamber-1/committee-78","/chamber-1","/chamber-1/committee-78",78,1,78,"Energy Conservation and Power","House Committee on Interstate and Foreign Commerce","{'Energy Conservation and Power': [97, 98, 99], 'Energy and Power': [100, 101, 102, 103, 104, 105, 106, 112, 113, 114], 'Energy and Air Quality': [107, 108, 109, 110], 'Energy and Environment': [111]}","housesub",""
"79","/chamber-1/committee-79","/chamber-1","/chamber-1/committee-79",79,1,79,"Energy Development and Applications","House Committee on Science and Astronautics","{'Energy Development and Applications': [97, 98, 99], 'International Scientific Cooperation': [100]}","housesub",""
"80","/chamber-1/committee-80","/chamber-1","/chamber-1/committee-80",80,1,80,"Energy Research and Development","House Committee on Science and Astronautics","{'Energy Research and Development': [101], 'Energy': [102, 103]}","housesub",""
"81","/chamber-1/committee-81","/chamber-1","/chamber-1/committee-81",81,1,81,"Energy Research and Production","House Committee on Science and Astronautics","{'Energy Research and Production': [97, 98, 99], 'Energy Research and Development': [100]}","housesub",""
"82","/chamber-1/committee-82","/chamber-1","/chamber-1/committee-82",82,1,82,"Energy, Environment, and Safety Issues Affecting Small Business","House Committee on Small Business","{'Energy, Environment, and Safety Issues Affecting Small Business': [97, 98, 99], 'Energy and Agriculture': [100]}","housesub",""
"83","/chamber-1/committee-83","/chamber-1","/chamber-1/committee-83",83,1,83,"Environment and Hazardous Materials","House Committee on Interstate and Foreign Commerce","{'Environment and Hazardous Materials': [107, 108, 109, 110]}","housesub",""
"84","/chamber-1/committee-84","/chamber-1","/chamber-1/committee-84",84,1,84,"Environment and Natural Resources","House Committee on Merchant Marine and Fisheries","{'Environment and Natural Resources': [103]}","housesub",""
"85","/chamber-1/committee-85","/chamber-1","/chamber-1/committee-85",85,1,85,"Environment and the Economy","House Committee on Interstate and Foreign Commerce","{'Environment and the Economy': [112, 113, 114]}","housesub",""
"86","/chamber-1/committee-86","/chamber-1","/chamber-1/committee-86",86,1,86,"Environment, Energy, and Natural Resources","House Committee on Government Operations","{'Environment, Energy, and Natural Resources': [102, 103], 'National Economic Growth, Natural Resources and Regulatory Affairs': [104, 105, 106], 'Energy Policy, Natural Resources and Regulatory Affairs': [107, 108]}","housesub",""
"87","/chamber-1/committee-87","/chamber-1","/chamber-1/committee-87",87,1,87,"Environment, Technology, and Standards","House Committee on Science and Astronautics","{'Environment, Technology, and Standards': [107, 108, 109], 'Technology and Innovation': [110, 111, 112], 'Technology': [113]}","housesub",""
"88","/chamber-1/committee-88","/chamber-1","/chamber-1/committee-88",88,1,88,"Europe","House Committee on Foreign Affairs","{'Europe': [107, 108, 110], 'Europe and Emerging Threats': [109], 'Europe and Eurasia': [112], 'Europe, Eurasia, and Emerging Threats': [113, 114]}","housesub",""
"89","/chamber-1/committee-89","/chamber-1","/chamber-1/committee-89",89,1,89,"Europe and the Middle East","House Committee on Foreign Affairs","{'Europe and the Middle East': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"90","/chamber-1/committee-90","/chamber-1","/chamber-1/committee-90",90,1,90,"Export Opportunities & Special Small Business Problems","House Committee on Small Business","{'Export Opportunities & Special Small Business Problems': [97, 98, 99], 'Exports, Tourism and Special Problems': [100]}","housesub",""
"91","/chamber-1/committee-91","/chamber-1","/chamber-1/committee-91",91,1,91,"Federal Workforce and Agency Organization","House Committee on Government Operations","{'Federal Workforce and Agency Organization': [109], 'Federal Workforce, Post Office, and the District of Columbia': [110, 111], 'Federal Workforce, U.S. Postal Service, and Labor Policy': [112]}","housesub",""
"92","/chamber-1/committee-92","/chamber-1","/chamber-1/committee-92",92,1,92,"Federalism and the Census","House Committee on Government Operations","{'Federalism and the Census': [109], 'Information Policy, Census, and National Archives': [110, 111]}","housesub",""
"93","/chamber-1/committee-93","/chamber-1","/chamber-1/committee-93",93,1,93,"Finance and Hazardous Materials","House Committee on Interstate and Foreign Commerce","{'Finance and Hazardous Materials': [105, 106]}","housesub",""
"94","/chamber-1/committee-94","/chamber-1","/chamber-1/committee-94",94,1,94,"Finance and Tax","House Committee on Small Business","{'Finance and Tax': [111]}","housesub",""
"95","/chamber-1/committee-95","/chamber-1","/chamber-1/committee-95",95,1,95,"Financial Institutions and Consumer Credit","House Committee on Banking and Currency","{'Financial Institutions and Consumer Credit': [104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114]}","housesub",""
"96","/chamber-1/committee-96","/chamber-1","/chamber-1/committee-96",96,1,96,"Financial Institutions Supervision, Regulation and Insurance","House Committee on Banking and Currency","{'Financial Institutions Supervision, Regulation and Insurance': [97, 98, 99, 100, 101, 102], 'Financial Institutions Supervision, Regulation and Deposit Insurance': [103]}","housesub",""
"97","/chamber-1/committee-97","/chamber-1","/chamber-1/committee-97",97,1,97,"Fiscal Affairs and Health","House Committee on District of Columbia","{'Fiscal Affairs and Health': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"98","/chamber-1/committee-98","/chamber-1","/chamber-1/committee-98",98,1,98,"Fisheries and Wildlife Conservation and the Environment","House Committee on Merchant Marine and Fisheries","{'Fisheries and Wildlife Conservation and the Environment': [97, 98, 99, 100, 101, 102]}","housesub",""
"99","/chamber-1/committee-99","/chamber-1","/chamber-1/committee-99",99,1,99,"Fisheries Management","House Committee on Merchant Marine and Fisheries","{'Fisheries Management': [103]}","housesub",""
"100","/chamber-1/committee-100","/chamber-1","/chamber-1/committee-100",100,1,100,"Fisheries, Wildlife and Oceans","House Committee on Interior and Insular Affairs","{'Fisheries, Wildlife and Oceans': [104], 'Fisheries Conservation, Wildlife, and Oceans': [105, 106, 107, 108, 109], 'Fisheries, Wildlife, and Oceans': [110]}","housesub",""
"101","/chamber-1/committee-101","/chamber-1","/chamber-1/committee-101",101,1,101,"Foreign Agriculture and Hunger","House Committee on Agriculture","{'Foreign Agriculture and Hunger': [103]}","housesub",""
"102","/chamber-1/committee-102","/chamber-1","/chamber-1/committee-102",102,1,102,"Foreign Operations","House Committee on Appropriations","{'Foreign Operations': [97, 98, 99, 100], 'Foreign Operations, Export Financing, and Related Programs': [102, 103, 104, 105]}","housesub",""
"103","/chamber-1/committee-103","/chamber-1","/chamber-1/committee-103",103,1,103,"Forests and Forest Health","House Committee on Interior and Insular Affairs","{'Forests and Forest Health': [105, 106, 107, 108, 109]}","housesub",""
"104","/chamber-1/committee-104","/chamber-1","/chamber-1/committee-104",104,1,104,"Forests, Family Farms, and Energy","House Committee on Agriculture","{'Forests, Family Farms, and Energy': [97, 98, 99, 100, 101, 102]}","housesub",""
"105","/chamber-1/committee-105","/chamber-1","/chamber-1/committee-105",105,1,105,"Fossil and Synthetic Fuels","House Committee on Interstate and Foreign Commerce","{'Fossil and Synthetic Fuels': [97, 98, 99], 'Transportation, Tourism, and Hazardous Materials': [100]}","housesub",""
"106","/chamber-1/committee-106","/chamber-1","/chamber-1/committee-106",106,1,106,"General Farm Commodities","House Committee on Agriculture","{'General Farm Commodities': [103, 104, 105]}","housesub",""
"107","/chamber-1/committee-107","/chamber-1","/chamber-1/committee-107",107,1,107,"General Farm Commodities and Risk Management","House Committee on Agriculture","{'General Farm Commodities and Risk Management': [107, 108, 109, 110, 111, 112, 113, 114]}","housesub",""
"108","/chamber-1/committee-108","/chamber-1","/chamber-1/committee-108",108,1,108,"General Farm Commodities, Resource Conservation and Credit","House Committee on Agriculture","{'General Farm Commodities, Resource Conservation and Credit': [106]}","housesub",""
"109","/chamber-1/committee-109","/chamber-1","/chamber-1/committee-109",109,1,109,"General Oversight","House Committee on Small Business","{'General Oversight': [97], 'General Oversight and the Economy': [98, 99], 'SBA, and the General Economy': [100]}","housesub",""
"110","/chamber-1/committee-110","/chamber-1","/chamber-1/committee-110",110,1,110,"General Oversight and California Desert Lands","House Committee on Interior and Insular Affairs","{'General Oversight and California Desert Lands': [102], 'Oversight and Investigations': [103]}","housesub",""
"111","/chamber-1/committee-111","/chamber-1","/chamber-1/committee-111",111,1,111,"General Oversight and Renegotiation","House Committee on Banking and Currency","{'General Oversight and Renegotiation': [97, 98], 'General Oversight and Investigations': [99, 100], 'Oversight and Investigations': [114]}","housesub",""
"112","/chamber-1/committee-112","/chamber-1","/chamber-1/committee-112",112,1,112,"General Oversight, Northwest Power, and Forest Management","House Committee on Interior and Insular Affairs","{'General Oversight, Northwest Power, and Forest Management': [99]}","housesub",""
"113","/chamber-1/committee-113","/chamber-1","/chamber-1/committee-113",113,1,113,"Government Activities and Transportation","House Committee on Government Operations","{'Government Activities and Transportation': [97, 98, 99, 100, 101, 102]}","housesub",""
"114","/chamber-1/committee-114","/chamber-1","/chamber-1/committee-114",114,1,114,"Government Efficiency and Financial Management","House Committee on Government Operations","{'Government Efficiency and Financial Management': [108]}","housesub",""
