"","observation_path","chamber_path","member_path","observation_number","chamber_number","member_number","full_name","first_name","middle_name","last_name","member_ID","state","district","party","year_start","year_end"
"18","/chamber-1/member-18","/chamber-1","/chamber-1/member-18",18,1,18,"Rick W. Allen","Rick","W.","Allen","/chamber-1/member-18","GA",12,"Republican",2015,2020
"19","/chamber-1/member-19","/chamber-1","/chamber-1/member-19",19,1,19,"Colin Z. Allred","Colin","Z.","Allred","/chamber-1/member-19","TX",32,"Democratic",2019,2020
"20","/chamber-1/member-20","/chamber-1","/chamber-1/member-20",20,1,20,"Jason Altmire","Jason","","Altmire","/chamber-1/member-20","PA",4,"Democratic",2007,2013
"21","/chamber-1/member-21","/chamber-1","/chamber-1/member-21",21,1,21,"Justin Amash","Justin",NA,"Amash","/chamber-1/member-21","MI",3,"Independent",2011,2020
"22","/chamber-1/member-22","/chamber-1","/chamber-1/member-22",22,1,22,"Jerome Ambro","Jerome","","Ambro","/chamber-1/member-22","NY",3,"Democratic",1975,1981
"23","/chamber-1/member-23","/chamber-1","/chamber-1/member-23",23,1,23,"Joseph S. Ammerman","Joseph","S.","Ammerman","/chamber-1/member-23","PA",23,"Democratic",1977,1979
"24","/chamber-1/member-24","/chamber-1","/chamber-1/member-24",24,1,24,"Mark E. Amodei","Mark","E.","Amodei","/chamber-1/member-24","NV",2,"Republican",2011,2020
"25","/chamber-1/member-25","/chamber-1","/chamber-1/member-25",25,1,25,"Glenn M. Anderson","Glenn","M.","Anderson","/chamber-1/member-25","CA",32,"Democratic",1969,1993
"26","/chamber-1/member-26","/chamber-1","/chamber-1/member-26",26,1,26,"John B. Anderson","John","B.","Anderson","/chamber-1/member-26","IL",16,"Republican",1961,1981
"27","/chamber-1/member-27","/chamber-1","/chamber-1/member-27",27,1,27,"John B. Anderson","John","B.","Anderson","/chamber-1/member-27","IL",2,"Republican",1961,1981
"28","/chamber-1/member-28","/chamber-1","/chamber-1/member-28",28,1,28,"John B. Anderson","John","B.","Anderson","/chamber-1/member-28","IL",5,"Republican",1961,1981
"29","/chamber-1/member-29","/chamber-1","/chamber-1/member-29",29,1,29,"John B. Anderson","John","B.","Anderson","/chamber-1/member-29","IL",8,"Republican",1961,1981
"30","/chamber-1/member-30","/chamber-1","/chamber-1/member-30",30,1,30,"Ike Franklin Andrews","Ike","Franklin","Andrews","/chamber-1/member-30","NC",4,"Democratic",1973,1985
"31","/chamber-1/member-31","/chamber-1","/chamber-1/member-31",31,1,31,"Michael A. Andrews","Michael","A.","Andrews","/chamber-1/member-31","TX",25,"Democratic",1983,1995
"32","/chamber-1/member-32","/chamber-1","/chamber-1/member-32",32,1,32,"Robert E. Andrews","Robert","E.","Andrews","/chamber-1/member-32","NJ",1,"Democratic",1990,2014
"33","/chamber-1/member-33","/chamber-1","/chamber-1/member-33",33,1,33,"Thomas H. Andrews","Thomas","H.","Andrews","/chamber-1/member-33","ME",1,"Democratic",1991,1995
"34","/chamber-1/member-34","/chamber-1","/chamber-1/member-34",34,1,34,"Frank Annunzio","Frank","","Annunzio","/chamber-1/member-34","IL",11,"Democratic",1965,1993
"35","/chamber-1/member-35","/chamber-1","/chamber-1/member-35",35,1,35,"Douglas Applegate","Douglas","","Applegate","/chamber-1/member-35","OH",18,"Democratic",1977,1995
"36","/chamber-1/member-36","/chamber-1","/chamber-1/member-36",36,1,36,"Bill Archer","Bill","","Archer","/chamber-1/member-36","TX",7,"Republican",1971,2001
"37","/chamber-1/member-37","/chamber-1","/chamber-1/member-37",37,1,37,"Michael Arcuri","Michael","","Arcuri","/chamber-1/member-37","NY",24,"Democratic",2007,2011
"38","/chamber-1/member-38","/chamber-1","/chamber-1/member-38",38,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"39","/chamber-1/member-39","/chamber-1","/chamber-1/member-39",39,1,39,"Kelly Armstrong","Kelly",NA,"Armstrong","/chamber-1/member-39","ND",NA,"Republican",2019,2020
"40","/chamber-1/member-40","/chamber-1","/chamber-1/member-40",40,1,40,"William L. Armstrong","William","L.","Armstrong","/chamber-1/member-40","CO",18,"Republican",1973,1979
"41","/chamber-1/member-41","/chamber-1","/chamber-1/member-41",41,1,41,"William L. Armstrong","William","L.","Armstrong","/chamber-1/member-41","CO",16,"Republican",1973,1979
"42","/chamber-1/member-42","/chamber-1","/chamber-1/member-42",42,1,42,"Jodey C. Arrington","Jodey","C.","Arrington","/chamber-1/member-42","TX",19,"Republican",2017,2020
"43","/chamber-1/member-43","/chamber-1","/chamber-1/member-43",43,1,43,"Jean Spencer Ashbrook","Jean","Spencer","Ashbrook","/chamber-1/member-43","OH",17,"Republican",1982,1983
"44","/chamber-1/member-44","/chamber-1","/chamber-1/member-44",44,1,44,"John M. Ashbrook","John","M.","Ashbrook","/chamber-1/member-44","OH",17,"Republican",1961,1982
"45","/chamber-1/member-45","/chamber-1","/chamber-1/member-45",45,1,45,"Brad Ashford","Brad","","Ashford","/chamber-1/member-45","NE",2,"Democratic",2015,2017
"46","/chamber-1/member-46","/chamber-1","/chamber-1/member-46",46,1,46,"Thomas W. Ashley","Thomas","W.","Ashley","/chamber-1/member-46","OH",9,"Democratic",1955,1981
"47","/chamber-1/member-47","/chamber-1","/chamber-1/member-47",47,1,47,"Chester G. Atkins","Chester","G.","Atkins","/chamber-1/member-47","MA",5,"Democratic",1985,1993
"48","/chamber-1/member-48","/chamber-1","/chamber-1/member-48",48,1,48,"Eugene Atkinson","Eugene","","Atkinson","/chamber-1/member-48","PA",25,"Democratic",1981,1983
"49","/chamber-1/member-49","/chamber-1","/chamber-1/member-49",49,1,49,"Eugene Atkinson","Eugene","","Atkinson","/chamber-1/member-49","PA",25,"Democratic",1979,1981
"50","/chamber-1/member-50","/chamber-1","/chamber-1/member-50",50,1,50,"Les AuCoin","Les","","AuCoin","/chamber-1/member-50","OR",1,"Democratic",1975,1993
"51","/chamber-1/member-51","/chamber-1","/chamber-1/member-51",51,1,51,"Steve Austria","Steve","","Austria","/chamber-1/member-51","OH",7,"Republican",2009,2013
"52","/chamber-1/member-52","/chamber-1","/chamber-1/member-52",52,1,52,"Cynthia Axne","Cynthia",NA,"Axne","/chamber-1/member-52","IA",3,"Democratic",2019,2020
"53","/chamber-1/member-53","/chamber-1","/chamber-1/member-53",53,1,53,"Brian Babin","Brian",NA,"Babin","/chamber-1/member-53","TX",36,"Republican",2015,2020
"54","/chamber-1/member-54","/chamber-1","/chamber-1/member-54",54,1,54,"Joe Baca","Joe","","Baca","/chamber-1/member-54","CA",43,"Democratic",1999,2013
"55","/chamber-1/member-55","/chamber-1","/chamber-1/member-55",55,1,55,"Michele Bachmann","Michele","","Bachmann","/chamber-1/member-55","MN",6,"Republican",2007,2015
"56","/chamber-1/member-56","/chamber-1","/chamber-1/member-56",56,1,56,"Spencer Bachus","Spencer","","Bachus","/chamber-1/member-56","AL",6,"Republican",1993,2015
"57","/chamber-1/member-57","/chamber-1","/chamber-1/member-57",57,1,57,"Don Bacon","Don",NA,"Bacon","/chamber-1/member-57","NE",2,"Republican",2017,2020
"58","/chamber-1/member-58","/chamber-1","/chamber-1/member-58",58,1,58,"Robert Badham","Robert","","Badham","/chamber-1/member-58","CA",40,"Republican",1977,1989
"59","/chamber-1/member-59","/chamber-1","/chamber-1/member-59",59,1,59,"Herman Badillo","Herman","","Badillo","/chamber-1/member-59","NY",21,"Democratic",1971,1977
"60","/chamber-1/member-60","/chamber-1","/chamber-1/member-60",60,1,60,"Donald A. Bailey","Donald","A.","Bailey","/chamber-1/member-60","PA",21,"Democratic",1979,1983
"61","/chamber-1/member-61","/chamber-1","/chamber-1/member-61",61,1,61,"Brian Baird","Brian","","Baird","/chamber-1/member-61","WA",3,"Democratic",1999,2011
"62","/chamber-1/member-62","/chamber-1","/chamber-1/member-62",62,1,62,"James R. Baird","James","R.","Baird","/chamber-1/member-62","IN",4,"Republican",2019,2020
"63","/chamber-1/member-63","/chamber-1","/chamber-1/member-63",63,1,63,"LaMar Baker","LaMar","","Baker","/chamber-1/member-63","TN",3,"Republican",1971,1975
"64","/chamber-1/member-64","/chamber-1","/chamber-1/member-64",64,1,64,"Richard Baker","Richard","","Baker","/chamber-1/member-64","LA",6,"Republican",1987,2008
"65","/chamber-1/member-65","/chamber-1","/chamber-1/member-65",65,1,65,"William P. Baker","William","P.","Baker","/chamber-1/member-65","CA",2,"Republican",1993,1997
"66","/chamber-1/member-66","/chamber-1","/chamber-1/member-66",66,1,66,"William P. Baker","William","P.","Baker","/chamber-1/member-66","CA",10,"Republican",1993,1997
"67","/chamber-1/member-67","/chamber-1","/chamber-1/member-67",67,1,67,"William P. Baker","William","P.","Baker","/chamber-1/member-67","CA",6,"Republican",1993,1997
"68","/chamber-1/member-68","/chamber-1","/chamber-1/member-68",68,1,68,"William P. Baker","William","P.","Baker","/chamber-1/member-68","CA",24,"Republican",1993,1997
"69","/chamber-1/member-69","/chamber-1","/chamber-1/member-69",69,1,69,"John Baldacci","John","","Baldacci","/chamber-1/member-69","ME",2,"Democratic",1995,2003
"70","/chamber-1/member-70","/chamber-1","/chamber-1/member-70",70,1,70,"Troy Balderson","Troy",NA,"Balderson","/chamber-1/member-70","OH",12,"Republican",2018,2020
"71","/chamber-1/member-71","/chamber-1","/chamber-1/member-71",71,1,71,"Alvin Baldus","Alvin","","Baldus","/chamber-1/member-71","WI",3,"Democratic",1975,1981
"72","/chamber-1/member-72","/chamber-1","/chamber-1/member-72",72,1,72,"Frank Ballance","Frank","","Ballance","/chamber-1/member-72","NC",1,"Democratic",2003,2004
"73","/chamber-1/member-73","/chamber-1","/chamber-1/member-73",73,1,73,"Cass Ballenger","Cass","","Ballenger","/chamber-1/member-73","NC",10,"Republican",1986,2005
"74","/chamber-1/member-74","/chamber-1","/chamber-1/member-74",74,1,74,"Jim Banks","Jim",NA,"Banks","/chamber-1/member-74","IN",3,"Republican",2017,2020
"75","/chamber-1/member-75","/chamber-1","/chamber-1/member-75",75,1,75,"Ron Barber","Ron","","Barber","/chamber-1/member-75","AZ",2,"Democratic",2012,2015
"76","/chamber-1/member-76","/chamber-1","/chamber-1/member-76",76,1,76,"Peter W. Barca","Peter","W.","Barca","/chamber-1/member-76","WI",1,"Democratic",1993,1995
"77","/chamber-1/member-77","/chamber-1","/chamber-1/member-77",77,1,77,"James A. Barcia","James","A.","Barcia","/chamber-1/member-77","MI",5,"Democratic",1993,2003
"78","/chamber-1/member-78","/chamber-1","/chamber-1/member-78",78,1,78,"Lou Barletta","Lou",NA,"Barletta","/chamber-1/member-78","PA",11,"Republican",2011,2019
"79","/chamber-1/member-79","/chamber-1","/chamber-1/member-79",79,1,79,"Thomas Barlow","Thomas","","Barlow","/chamber-1/member-79","KY",1,"Democratic",1993,1995
"80","/chamber-1/member-80","/chamber-1","/chamber-1/member-80",80,1,80,"Michael D. Barnes","Michael","D.","Barnes","/chamber-1/member-80","MD",8,"Democratic",1979,1987
"81","/chamber-1/member-81","/chamber-1","/chamber-1/member-81",81,1,81,"Andy Barr","Andy",NA,"Barr","/chamber-1/member-81","KY",6,"Republican",2013,2020
"82","/chamber-1/member-82","/chamber-1","/chamber-1/member-82",82,1,82,"Bob Barr","Bob","","Barr","/chamber-1/member-82","GA",7,"Republican",1995,2003
"83","/chamber-1/member-83","/chamber-1","/chamber-1/member-83",83,1,83,"Nanette Diaz Barragan","Nanette","Diaz","Barragan","/chamber-1/member-83","CA",44,"Democratic",2017,2020
"84","/chamber-1/member-84","/chamber-1","/chamber-1/member-84",84,1,84,"Bill Barrett","Bill","","Barrett","/chamber-1/member-84","NE",3,"Republican",1991,2001
"85","/chamber-1/member-85","/chamber-1","/chamber-1/member-85",85,1,85,"William A. Barrett","William","A.","Barrett","/chamber-1/member-85","PA",7,"Democratic",1949,1976
"86","/chamber-1/member-86","/chamber-1","/chamber-1/member-86",86,1,86,"William A. Barrett","William","A.","Barrett","/chamber-1/member-86","PA",1,"Democratic",1949,1976
"87","/chamber-1/member-87","/chamber-1","/chamber-1/member-87",87,1,87,"John Barrow","John","","Barrow","/chamber-1/member-87","GA",12,"Democratic",2005,2015
"88","/chamber-1/member-88","/chamber-1","/chamber-1/member-88",88,1,88,"Roscoe Bartlett","Roscoe","","Bartlett","/chamber-1/member-88","MD",6,"Republican",1993,2013
"89","/chamber-1/member-89","/chamber-1","/chamber-1/member-89",89,1,89,"Joe Barton","Joe",NA,"Barton","/chamber-1/member-89","TX",6,"Republican",1985,2019
"90","/chamber-1/member-90","/chamber-1","/chamber-1/member-90",90,1,90,"Charles Bass","Charles","","Bass","/chamber-1/member-90","NH",2,"Republican",1995,2007
"91","/chamber-1/member-91","/chamber-1","/chamber-1/member-91",91,1,91,"Charles Bass","Charles","","Bass","/chamber-1/member-91","NH",2,"Republican",2011,2013
"92","/chamber-1/member-92","/chamber-1","/chamber-1/member-92",92,1,92,"Karen Bass","Karen",NA,"Bass","/chamber-1/member-92","CA",37,"Democratic",2011,2020
"93","/chamber-1/member-93","/chamber-1","/chamber-1/member-93",93,1,93,"Herbert H. Bateman","Herbert","H.","Bateman","/chamber-1/member-93","VA",1,"Republican",1983,2000
"94","/chamber-1/member-94","/chamber-1","/chamber-1/member-94",94,1,94,"Jim Bates","Jim","","Bates","/chamber-1/member-94","CA",44,"Democratic",1983,1991
"95","/chamber-1/member-95","/chamber-1","/chamber-1/member-95",95,1,95,"Robert Bauman","Robert","","Bauman","/chamber-1/member-95","MD",1,"Republican",1973,1981
"96","/chamber-1/member-96","/chamber-1","/chamber-1/member-96",96,1,96,"Melissa Bean","Melissa","","Bean","/chamber-1/member-96","IL",8,"Democratic",2005,2011
"97","/chamber-1/member-97","/chamber-1","/chamber-1/member-97",97,1,97,"Edward Beard","Edward","","Beard","/chamber-1/member-97","RI",2,"Democratic",1975,1981
"98","/chamber-1/member-98","/chamber-1","/chamber-1/member-98",98,1,98,"Robin Beard","Robin","","Beard","/chamber-1/member-98","TN",6,"Republican",1973,1983
"99","/chamber-1/member-99","/chamber-1","/chamber-1/member-99",99,1,99,"Joyce Beatty","Joyce",NA,"Beatty","/chamber-1/member-99","OH",3,"Democratic",2013,2020
"100","/chamber-1/member-100","/chamber-1","/chamber-1/member-100",100,1,100,"Bob Beauprez","Bob","","Beauprez","/chamber-1/member-100","CO",7,"Republican",2003,2007
"101","/chamber-1/member-101","/chamber-1","/chamber-1/member-101",101,1,101,"Xavier Becerra","Xavier","","Becerra","/chamber-1/member-101","CA",34,"Democratic",1993,2017
"102","/chamber-1/member-102","/chamber-1","/chamber-1/member-102",102,1,102,"Xavier Becerra","Xavier",NA,"Becerra","/chamber-1/member-102","CA",34,"Democratic",1993,2017
"103","/chamber-1/member-103","/chamber-1","/chamber-1/member-103",103,1,103,"Berkley Bedell","Berkley","","Bedell","/chamber-1/member-103","IA",6,"Democratic",1975,1987
"104","/chamber-1/member-104","/chamber-1","/chamber-1/member-104",104,1,104,"Anthony C. Beilenson","Anthony","C.","Beilenson","/chamber-1/member-104","CA",24,"Democratic",1977,1997
"105","/chamber-1/member-105","/chamber-1","/chamber-1/member-105",105,1,105,"Chris Bell","Chris","","Bell","/chamber-1/member-105","TX",25,"Democratic",2003,2005
"106","/chamber-1/member-106","/chamber-1","/chamber-1/member-106",106,1,106,"Dan Benishek","Dan","","Benishek","/chamber-1/member-106","MI",1,"Republican",2011,2017
"107","/chamber-1/member-107","/chamber-1","/chamber-1/member-107",107,1,107,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-107","FL",3,"Democratic",1949,1993
"108","/chamber-1/member-108","/chamber-1","/chamber-1/member-108",108,1,108,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-108","FL",5,"Democratic",1949,1993
"109","/chamber-1/member-109","/chamber-1","/chamber-1/member-109",109,1,109,"Kerry Bentivolio","Kerry","","Bentivolio","/chamber-1/member-109","MI",11,"Republican",2013,2015
"110","/chamber-1/member-110","/chamber-1","/chamber-1/member-110",110,1,110,"Helen Delich Bentley","Helen","Delich","Bentley","/chamber-1/member-110","MD",2,"Republican",1985,1995
"111","/chamber-1/member-111","/chamber-1","/chamber-1/member-111",111,1,111,"Ami Bera","Ami",NA,"Bera","/chamber-1/member-111","CA",7,"Democratic",2013,2020
"112","/chamber-1/member-112","/chamber-1","/chamber-1/member-112",112,1,112,"Rick Berg","Rick","","Berg","/chamber-1/member-112","ND",0,"Republican",2011,2013
"113","/chamber-1/member-113","/chamber-1","/chamber-1/member-113",113,1,113,"Robert Bergland","Robert","","Bergland","/chamber-1/member-113","MN",7,"Democratic-Farmer-Labor",1971,1977
"114","/chamber-1/member-114","/chamber-1","/chamber-1/member-114",114,1,114,"Jack Bergman","Jack",NA,"Bergman","/chamber-1/member-114","MI",1,"Republican",2017,2020
"115","/chamber-1/member-115","/chamber-1","/chamber-1/member-115",115,1,115,"Shelley Berkley","Shelley","","Berkley","/chamber-1/member-115","NV",1,"Democratic",1999,2013
"116","/chamber-1/member-116","/chamber-1","/chamber-1/member-116",116,1,116,"Howard Berman","Howard","","Berman","/chamber-1/member-116","CA",28,"Democratic",1983,2013
"117","/chamber-1/member-117","/chamber-1","/chamber-1/member-117",117,1,117,"Tom Bevill","Tom","","Bevill","/chamber-1/member-117","AL",4,"Democratic",1967,1997
"118","/chamber-1/member-118","/chamber-1","/chamber-1/member-118",118,1,118,"Donald S. Beyer","Donald","S.","Beyer","/chamber-1/member-118","VA",8,"Democratic",2015,2020
"119","/chamber-1/member-119","/chamber-1","/chamber-1/member-119",119,1,119,"Mario Biaggi","Mario","","Biaggi","/chamber-1/member-119","NY",19,"Democratic",1969,1988
"120","/chamber-1/member-120","/chamber-1","/chamber-1/member-120",120,1,120,"Judy Biggert","Judy","","Biggert","/chamber-1/member-120","IL",13,"Republican",1999,2013
"121","/chamber-1/member-121","/chamber-1","/chamber-1/member-121",121,1,121,"Andy Biggs","Andy",NA,"Biggs","/chamber-1/member-121","AZ",5,"Republican",2017,2020
"122","/chamber-1/member-122","/chamber-1","/chamber-1/member-122",122,1,122,"Brian Bilbray","Brian","","Bilbray","/chamber-1/member-122","CA",50,"Republican",2006,2013
"123","/chamber-1/member-123","/chamber-1","/chamber-1/member-123",123,1,123,"Brian Bilbray","Brian","","Bilbray","/chamber-1/member-123","CA",50,"Republican",1995,2001
"124","/chamber-1/member-124","/chamber-1","/chamber-1/member-124",124,1,124,"James Bilbray","James","","Bilbray","/chamber-1/member-124","NV",1,"Democratic",1987,1995
"125","/chamber-1/member-125","/chamber-1","/chamber-1/member-125",125,1,125,"Gus M. Bilirakis","Gus","M.","Bilirakis","/chamber-1/member-125","FL",12,"Republican",2007,2020
"126","/chamber-1/member-126","/chamber-1","/chamber-1/member-126",126,1,126,"Michael Bilirakis","Michael","","Bilirakis","/chamber-1/member-126","FL",9,"Republican",1983,2007
"127","/chamber-1/member-127","/chamber-1","/chamber-1/member-127",127,1,127,"Jonathan B. Bingham","Jonathan","B.","Bingham","/chamber-1/member-127","NY",22,"Democratic",1965,1983
"128","/chamber-1/member-128","/chamber-1","/chamber-1/member-128",128,1,128,"Dan Bishop","Dan",NA,"Bishop","/chamber-1/member-128","NC",9,"Republican",2019,2020
"129","/chamber-1/member-129","/chamber-1","/chamber-1/member-129",129,1,129,"Mike Bishop","Mike",NA,"Bishop","/chamber-1/member-129","MI",8,"Republican",2015,2019
"130","/chamber-1/member-130","/chamber-1","/chamber-1/member-130",130,1,130,"Rob Bishop","Rob",NA,"Bishop","/chamber-1/member-130","UT",1,"Republican",2003,2020
"131","/chamber-1/member-131","/chamber-1","/chamber-1/member-131",131,1,131,"Sanford D. Bishop","Sanford","D.","Bishop","/chamber-1/member-131","GA",2,"Democratic",1993,2020
"132","/chamber-1/member-132","/chamber-1","/chamber-1/member-132",132,1,132,"Diane Black","Diane",NA,"Black","/chamber-1/member-132","TN",6,"Republican",2011,2019
"133","/chamber-1/member-133","/chamber-1","/chamber-1/member-133",133,1,133,"Benjamin B. Blackburn","Benjamin","B.","Blackburn","/chamber-1/member-133","GA",4,"Republican",1967,1975
"134","/chamber-1/member-134","/chamber-1","/chamber-1/member-134",134,1,134,"Marsha Blackburn","Marsha",NA,"Blackburn","/chamber-1/member-134","TN",NA,"Republican",2003,2019
"135","/chamber-1/member-135","/chamber-1","/chamber-1/member-135",135,1,135,"Lucien E. Blackwell","Lucien","E.","Blackwell","/chamber-1/member-135","PA",2,"Democratic",1991,1995
"136","/chamber-1/member-136","/chamber-1","/chamber-1/member-136",136,1,136,"Rod Blagojevich","Rod","","Blagojevich","/chamber-1/member-136","IL",5,"Democratic",1997,2003
"137","/chamber-1/member-137","/chamber-1","/chamber-1/member-137",137,1,137,"James Blanchard","James","","Blanchard","/chamber-1/member-137","MI",18,"Democratic",1975,1983
"138","/chamber-1/member-138","/chamber-1","/chamber-1/member-138",138,1,138,"John Blatnik","John","","Blatnik","/chamber-1/member-138","MN",8,"Democratic-Farmer-Labor",1947,1974
"139","/chamber-1/member-139","/chamber-1","/chamber-1/member-139",139,1,139,"Rod Blum","Rod",NA,"Blum","/chamber-1/member-139","IA",1,"Republican",2015,2019
"140","/chamber-1/member-140","/chamber-1","/chamber-1/member-140",140,1,140,"Earl Blumenauer","Earl",NA,"Blumenauer","/chamber-1/member-140","OR",3,"Democratic",1995,2020
"141","/chamber-1/member-141","/chamber-1","/chamber-1/member-141",141,1,141,"Lisa Blunt Rochester","Lisa",NA,"Blunt Rochester","/chamber-1/member-141","DE",NA,"Democratic",2017,2020
"142","/chamber-1/member-142","/chamber-1","/chamber-1/member-142",142,1,142,"Peter I. Blute","Peter","I.","Blute","/chamber-1/member-142","MA",3,"Republican",1993,1997
"143","/chamber-1/member-143","/chamber-1","/chamber-1/member-143",143,1,143,"John Boccieri","John","","Boccieri","/chamber-1/member-143","OH",16,"Democratic",2009,2011
"144","/chamber-1/member-144","/chamber-1","/chamber-1/member-144",144,1,144,"Sherwood Boehlert","Sherwood","","Boehlert","/chamber-1/member-144","NY",24,"Republican",1983,2007
"145","/chamber-1/member-145","/chamber-1","/chamber-1/member-145",145,1,145,"John A. Boehner","John","A.","Boehner","/chamber-1/member-145","OH",8,"Republican",1991,2015
"146","/chamber-1/member-146","/chamber-1","/chamber-1/member-146",146,1,146,"Edward Boland","Edward","","Boland","/chamber-1/member-146","MA",2,"Democratic",1953,1989
"147","/chamber-1/member-147","/chamber-1","/chamber-1/member-147",147,1,147,"Richard Bolling","Richard","","Bolling","/chamber-1/member-147","MO",5,"Democratic",1949,1983
"148","/chamber-1/member-148","/chamber-1","/chamber-1/member-148",148,1,148,"Suzanne Bonamici","Suzanne",NA,"Bonamici","/chamber-1/member-148","OR",1,"Democratic",2012,2020
"149","/chamber-1/member-149","/chamber-1","/chamber-1/member-149",149,1,149,"Henry Bonilla","Henry","","Bonilla","/chamber-1/member-149","TX",23,"Republican",1993,2007
"150","/chamber-1/member-150","/chamber-1","/chamber-1/member-150",150,1,150,"David E. Bonior","David","E.","Bonior","/chamber-1/member-150","MI",10,"Democratic",1977,2003
"151","/chamber-1/member-151","/chamber-1","/chamber-1/member-151",151,1,151,"Don Bonker","Don","","Bonker","/chamber-1/member-151","WA",3,"Democratic",1975,1989
"152","/chamber-1/member-152","/chamber-1","/chamber-1/member-152",152,1,152,"Jo Bonner","Jo","","Bonner","/chamber-1/member-152","AL",1,"Republican",2003,2013
"153","/chamber-1/member-153","/chamber-1","/chamber-1/member-153",153,1,153,"Sonny Bono","Sonny","","Bono","/chamber-1/member-153","CA",44,"Republican",1995,1998
"154","/chamber-1/member-154","/chamber-1","/chamber-1/member-154",154,1,154,"Dan Boren","Dan","","Boren","/chamber-1/member-154","OK",2,"Democratic",2005,2013
"155","/chamber-1/member-155","/chamber-1","/chamber-1/member-155",155,1,155,"Douglas H. Bosco","Douglas","H.","Bosco","/chamber-1/member-155","CA",1,"Democratic",1983,1991
"156","/chamber-1/member-156","/chamber-1","/chamber-1/member-156",156,1,156,"Mike Bost","Mike",NA,"Bost","/chamber-1/member-156","IL",12,"Republican",2015,2020
"157","/chamber-1/member-157","/chamber-1","/chamber-1/member-157",157,1,157,"Leonard Boswell","Leonard","","Boswell","/chamber-1/member-157","IA",3,"Democratic",1997,2013
"158","/chamber-1/member-158","/chamber-1","/chamber-1/member-158",158,1,158,"Charles Boustany","Charles","","Boustany","/chamber-1/member-158","LA",3,"Republican",2005,2017
"159","/chamber-1/member-159","/chamber-1","/chamber-1/member-159",159,1,159,"David R. Bowen","David","R.","Bowen","/chamber-1/member-159","MS",2,"Democratic",1973,1983
