"","observation_path","parliament_path","chamber_path","member_path","observation_number","parliament_number","chamber_number","member_number","full_name","first_name","middle_name","last_name","member_ID","state","district","party","year_start","year_end"
"41","/parliament-80/chamber-1/member-1088","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1088",41,80,1,1088,"Thomas E. Morgan","Thomas","E.","Morgan","/chamber-1/member-1088","PA",22,"Democratic",1945,1977
"42","/parliament-80/chamber-1/member-1167","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1167",42,80,1,1167,"Otto Passman","Otto","","Passman","/chamber-1/member-1167","LA",5,"Democratic",1947,1977
"43","/parliament-80/chamber-1/member-1202","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1202",43,80,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"44","/parliament-80/chamber-1/member-1287","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1287",44,80,1,1287,"John J. Rooney","John","J.","Rooney","/chamber-1/member-1287","NY",14,"Democratic",1944,1974
"45","/parliament-80/chamber-1/member-1390","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1390",45,80,1,1390,"Robert L. Sikes","Robert","L.","Sikes","/chamber-1/member-1390","FL",1,"Democratic",1945,1979
"46","/parliament-80/chamber-1/member-1491","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1491",46,80,1,1491,"Olin E. Teague","Olin","E.","Teague","/chamber-1/member-1491","TX",6,"Democratic",1946,1978
"47","/parliament-80/chamber-1/member-1591","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1591",47,80,1,1591,"Jamie L. Whitten","Jamie","L.","Whitten","/chamber-1/member-1591","MS",1,"Democratic",1941,1995
"48","/parliament-81/chamber-1/member-13","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-13",48,81,1,13,"Carl Albert","Carl","","Albert","/chamber-1/member-13","OK",3,"Democratic",1947,1977
"49","/parliament-81/chamber-1/member-38","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-38",49,81,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"50","/parliament-81/chamber-1/member-85","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-85",50,81,1,85,"William A. Barrett","William","A.","Barrett","/chamber-1/member-85","PA",7,"Democratic",1949,1976
"51","/parliament-81/chamber-1/member-86","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-86",51,81,1,86,"William A. Barrett","William","A.","Barrett","/chamber-1/member-86","PA",1,"Democratic",1949,1976
"52","/parliament-81/chamber-1/member-107","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-107",52,81,1,107,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-107","FL",3,"Democratic",1949,1993
"53","/parliament-81/chamber-1/member-108","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-108",53,81,1,108,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-108","FL",5,"Democratic",1949,1993
"54","/parliament-81/chamber-1/member-138","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-138",54,81,1,138,"John Blatnik","John","","Blatnik","/chamber-1/member-138","MN",8,"Democratic-Farmer-Labor",1947,1974
"55","/parliament-81/chamber-1/member-147","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-147",55,81,1,147,"Richard Bolling","Richard","","Bolling","/chamber-1/member-147","MO",5,"Democratic",1949,1983
"56","/parliament-81/chamber-1/member-206","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-206",56,81,1,206,"Omar Burleson","Omar","","Burleson","/chamber-1/member-206","TX",17,"Democratic",1947,1978
"57","/parliament-81/chamber-1/member-381","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-381",57,81,1,381,"James Delaney","James","","Delaney","/chamber-1/member-381","NY",9,"Democratic",1949,1978
"58","/parliament-81/chamber-1/member-420","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-420",58,81,1,420,"Harold Donohue","Harold","","Donohue","/chamber-1/member-420","MA",3,"Democratic",1947,1974
"59","/parliament-81/chamber-1/member-622","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-622",59,81,1,622,"Harold R. Gross","Harold","R.","Gross","/chamber-1/member-622","IA",3,"Republican",1949,1975
"60","/parliament-81/chamber-1/member-685","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-685",60,81,1,685,"Wayne Hays","Wayne","","Hays","/chamber-1/member-685","OH",18,"Democratic",1949,1976
"61","/parliament-81/chamber-1/member-724","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-724",61,81,1,724,"Chester E. Holifield","Chester","E.","Holifield","/chamber-1/member-724","CA",19,"Democratic",1943,1974
"62","/parliament-81/chamber-1/member-952","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-952",62,81,1,952,"Ray J. Madden","Ray","J.","Madden","/chamber-1/member-952","IN",1,"Democratic",1943,1977
"63","/parliament-81/chamber-1/member-954","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-954",63,81,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"64","/parliament-81/chamber-1/member-1065","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1065",64,81,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
"65","/parliament-81/chamber-1/member-1088","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1088",65,81,1,1088,"Thomas E. Morgan","Thomas","E.","Morgan","/chamber-1/member-1088","PA",22,"Democratic",1945,1977
"66","/parliament-81/chamber-1/member-1167","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1167",66,81,1,1167,"Otto Passman","Otto","","Passman","/chamber-1/member-1167","LA",5,"Democratic",1947,1977
"67","/parliament-81/chamber-1/member-1183","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1183",67,81,1,1183,"Carl D. Perkins","Carl","D.","Perkins","/chamber-1/member-1183","KY",7,"Democratic",1949,1984
"68","/parliament-81/chamber-1/member-1202","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1202",68,81,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"69","/parliament-81/chamber-1/member-1273","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1273",69,81,1,1273,"Peter W. Rodino","Peter","W.","Rodino","/chamber-1/member-1273","NJ",10,"Democratic",1949,1989
"70","/parliament-81/chamber-1/member-1287","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1287",70,81,1,1287,"John J. Rooney","John","J.","Rooney","/chamber-1/member-1287","NY",14,"Democratic",1944,1974
"71","/parliament-81/chamber-1/member-1390","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1390",71,81,1,1390,"Robert L. Sikes","Robert","L.","Sikes","/chamber-1/member-1390","FL",1,"Democratic",1945,1979
"72","/parliament-81/chamber-1/member-1437","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1437",72,81,1,1437,"Harley Orrin Staggers","Harley","Orrin","Staggers","/chamber-1/member-1437","WV",2,"Democratic",1949,1981
"73","/parliament-81/chamber-1/member-1491","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1491",73,81,1,1491,"Olin E. Teague","Olin","E.","Teague","/chamber-1/member-1491","TX",6,"Democratic",1946,1978
"74","/parliament-81/chamber-1/member-1591","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1591",74,81,1,1591,"Jamie L. Whitten","Jamie","L.","Whitten","/chamber-1/member-1591","MS",1,"Democratic",1941,1995
"75","/parliament-81/chamber-1/member-1636","/parliament-81","/parliament-81/chamber-1","/parliament-81/chamber-1/member-1636",75,81,1,1636,"Clement J. Zablocki","Clement","J.","Zablocki","/chamber-1/member-1636","WI",4,"Democratic",1949,1983
"76","/parliament-82/chamber-1/member-13","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-13",76,82,1,13,"Carl Albert","Carl","","Albert","/chamber-1/member-13","OK",3,"Democratic",1947,1977
"77","/parliament-82/chamber-1/member-38","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-38",77,82,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"78","/parliament-82/chamber-1/member-85","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-85",78,82,1,85,"William A. Barrett","William","A.","Barrett","/chamber-1/member-85","PA",7,"Democratic",1949,1976
"79","/parliament-82/chamber-1/member-86","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-86",79,82,1,86,"William A. Barrett","William","A.","Barrett","/chamber-1/member-86","PA",1,"Democratic",1949,1976
"80","/parliament-82/chamber-1/member-107","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-107",80,82,1,107,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-107","FL",3,"Democratic",1949,1993
"81","/parliament-82/chamber-1/member-108","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-108",81,82,1,108,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-108","FL",5,"Democratic",1949,1993
"82","/parliament-82/chamber-1/member-138","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-138",82,82,1,138,"John Blatnik","John","","Blatnik","/chamber-1/member-138","MN",8,"Democratic-Farmer-Labor",1947,1974
"83","/parliament-82/chamber-1/member-147","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-147",83,82,1,147,"Richard Bolling","Richard","","Bolling","/chamber-1/member-147","MO",5,"Democratic",1949,1983
"84","/parliament-82/chamber-1/member-170","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-170",84,82,1,170,"William G. Bray","William","G.","Bray","/chamber-1/member-170","IN",6,"Republican",1951,1975
"85","/parliament-82/chamber-1/member-206","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-206",85,82,1,206,"Omar Burleson","Omar","","Burleson","/chamber-1/member-206","TX",17,"Democratic",1947,1978
"86","/parliament-82/chamber-1/member-381","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-381",86,82,1,381,"James Delaney","James","","Delaney","/chamber-1/member-381","NY",9,"Democratic",1949,1978
"87","/parliament-82/chamber-1/member-420","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-420",87,82,1,420,"Harold Donohue","Harold","","Donohue","/chamber-1/member-420","MA",3,"Democratic",1947,1974
"88","/parliament-82/chamber-1/member-423","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-423",88,82,1,423,"William Jennings Dorn","William","Jennings","Dorn","/chamber-1/member-423","SC",3,"Democratic",1951,1974
"89","/parliament-82/chamber-1/member-622","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-622",89,82,1,622,"Harold R. Gross","Harold","R.","Gross","/chamber-1/member-622","IA",3,"Republican",1949,1975
"90","/parliament-82/chamber-1/member-685","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-685",90,82,1,685,"Wayne Hays","Wayne","","Hays","/chamber-1/member-685","OH",18,"Democratic",1949,1976
"91","/parliament-82/chamber-1/member-724","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-724",91,82,1,724,"Chester E. Holifield","Chester","E.","Holifield","/chamber-1/member-724","CA",19,"Democratic",1943,1974
"92","/parliament-82/chamber-1/member-775","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-775",92,82,1,775,"John Jarman","John","","Jarman","/chamber-1/member-775","OK",5,"Democratic",1951,1975
"93","/parliament-82/chamber-1/member-861","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-861",93,82,1,861,"John C. Kluczynski","John","C.","Kluczynski","/chamber-1/member-861","IL",5,"Democratic",1951,1975
"94","/parliament-82/chamber-1/member-952","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-952",94,82,1,952,"Ray J. Madden","Ray","J.","Madden","/chamber-1/member-952","IN",1,"Democratic",1943,1977
"95","/parliament-82/chamber-1/member-954","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-954",95,82,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"96","/parliament-82/chamber-1/member-1065","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1065",96,82,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
"97","/parliament-82/chamber-1/member-1088","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1088",97,82,1,1088,"Thomas E. Morgan","Thomas","E.","Morgan","/chamber-1/member-1088","PA",22,"Democratic",1945,1977
"98","/parliament-82/chamber-1/member-1167","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1167",98,82,1,1167,"Otto Passman","Otto","","Passman","/chamber-1/member-1167","LA",5,"Democratic",1947,1977
"99","/parliament-82/chamber-1/member-1183","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1183",99,82,1,1183,"Carl D. Perkins","Carl","D.","Perkins","/chamber-1/member-1183","KY",7,"Democratic",1949,1984
"100","/parliament-82/chamber-1/member-1202","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1202",100,82,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"101","/parliament-82/chamber-1/member-1273","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1273",101,82,1,1273,"Peter W. Rodino","Peter","W.","Rodino","/chamber-1/member-1273","NJ",10,"Democratic",1949,1989
"102","/parliament-82/chamber-1/member-1287","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1287",102,82,1,1287,"John J. Rooney","John","J.","Rooney","/chamber-1/member-1287","NY",14,"Democratic",1944,1974
"103","/parliament-82/chamber-1/member-1390","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1390",103,82,1,1390,"Robert L. Sikes","Robert","L.","Sikes","/chamber-1/member-1390","FL",1,"Democratic",1945,1979
"104","/parliament-82/chamber-1/member-1437","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1437",104,82,1,1437,"Harley Orrin Staggers","Harley","Orrin","Staggers","/chamber-1/member-1437","WV",2,"Democratic",1949,1981
"105","/parliament-82/chamber-1/member-1491","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1491",105,82,1,1491,"Olin E. Teague","Olin","E.","Teague","/chamber-1/member-1491","TX",6,"Democratic",1946,1978
"106","/parliament-82/chamber-1/member-1591","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1591",106,82,1,1591,"Jamie L. Whitten","Jamie","L.","Whitten","/chamber-1/member-1591","MS",1,"Democratic",1941,1995
"107","/parliament-82/chamber-1/member-1592","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1592",107,82,1,1592,"William B. Widnall","William","B.","Widnall","/chamber-1/member-1592","NJ",7,"Republican",1950,1974
"108","/parliament-82/chamber-1/member-1636","/parliament-82","/parliament-82/chamber-1","/parliament-82/chamber-1/member-1636",108,82,1,1636,"Clement J. Zablocki","Clement","J.","Zablocki","/chamber-1/member-1636","WI",4,"Democratic",1949,1983
"109","/parliament-83/chamber-1/member-13","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-13",109,83,1,13,"Carl Albert","Carl","","Albert","/chamber-1/member-13","OK",3,"Democratic",1947,1977
"110","/parliament-83/chamber-1/member-38","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-38",110,83,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"111","/parliament-83/chamber-1/member-85","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-85",111,83,1,85,"William A. Barrett","William","A.","Barrett","/chamber-1/member-85","PA",7,"Democratic",1949,1976
"112","/parliament-83/chamber-1/member-86","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-86",112,83,1,86,"William A. Barrett","William","A.","Barrett","/chamber-1/member-86","PA",1,"Democratic",1949,1976
"113","/parliament-83/chamber-1/member-107","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-107",113,83,1,107,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-107","FL",3,"Democratic",1949,1993
"114","/parliament-83/chamber-1/member-108","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-108",114,83,1,108,"Charles Edward Bennett","Charles","Edward","Bennett","/chamber-1/member-108","FL",5,"Democratic",1949,1993
"115","/parliament-83/chamber-1/member-138","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-138",115,83,1,138,"John Blatnik","John","","Blatnik","/chamber-1/member-138","MN",8,"Democratic-Farmer-Labor",1947,1974
"116","/parliament-83/chamber-1/member-146","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-146",116,83,1,146,"Edward Boland","Edward","","Boland","/chamber-1/member-146","MA",2,"Democratic",1953,1989
"117","/parliament-83/chamber-1/member-147","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-147",117,83,1,147,"Richard Bolling","Richard","","Bolling","/chamber-1/member-147","MO",5,"Democratic",1949,1983
"118","/parliament-83/chamber-1/member-170","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-170",118,83,1,170,"William G. Bray","William","G.","Bray","/chamber-1/member-170","IN",6,"Republican",1951,1975
"119","/parliament-83/chamber-1/member-179","/parliament-83","/parliament-83/chamber-1","/parliament-83/chamber-1/member-179",119,83,1,179,"Jack Brooks","Jack","","Brooks","/chamber-1/member-179","TX",9,"Democratic",1953,1995
