"","full_name","State","Party","chamber","service_period","congress","committee_type","committee_name","committee_period","start_date","end_date","parliament_path","chamber_path","member_number","committee_number","committee_path","member_path","observation_number"
"35","Crawford, Fred L.","MI","Republican","House",0,80,"Standing","170","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,23,"/parliament-80/chamber-1/committee-23","/parliament-80/chamber-1/committee-23.member-2",35
"36","Angell, Homer D.","OR","Republican","House",0,80,"Standing","172","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,24,"/parliament-80/chamber-1/committee-24","/parliament-80/chamber-1/committee-24.member-2",36
"37","Brown, Clarence J.","OH","Republican","House",0,80,"Standing","176","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,26,"/parliament-80/chamber-1/committee-26","/parliament-80/chamber-1/committee-26.member-2",37
"38","Mundt, Karl E.","SD","Republican","House",0,80,"Standing","188","Only",1947-01-14,1948-12-30,"/parliament-80","/parliament-80/chamber-1",2,32,"/parliament-80/chamber-1/committee-32","/parliament-80/chamber-1/committee-32.member-2",38
"39","Kearney, Bernard W.","NY","Republican","House",0,80,"Standing","192","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,33,"/parliament-80/chamber-1/committee-33","/parliament-80/chamber-1/committee-33.member-2",39
"40","Reed, Daniel A.","NY","Republican","House",0,80,"Standing","196","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,34,"/parliament-80/chamber-1/committee-34","/parliament-80/chamber-1/committee-34.member-2",40
"41","Bentsen, Lloyd M. Jr.","TX","Democratic","House",0,80,"Standing","790","Inapplicable",1948-12-04,1949-01-02,"/parliament-80","/parliament-80/chamber-1",2,41,"/parliament-80/chamber-1/committee-41","/parliament-80/chamber-1/committee-41.member-2",41
"42","Johnson, Anton J.","IL","Republican","House",0,80,"Standing","102","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,1,"/parliament-80/chamber-1/committee-1","/parliament-80/chamber-1/committee-1.member-3",42
"43","Plumley, Charles A.","NY","Republican","House",0,80,"Standing","104","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,2,"/parliament-80/chamber-1/committee-2","/parliament-80/chamber-1/committee-2.member-3",43
"44","Arends, Leslie C.","IL","Republican","House",0,80,"Standing","106","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,3,"/parliament-80/chamber-1/committee-3","/parliament-80/chamber-1/committee-3.member-3",44
"45","Smith, Frederick C.","OH","Republican","House",0,80,"Standing","111","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,4,"/parliament-80/chamber-1/committee-4","/parliament-80/chamber-1/committee-4.member-3",45
"46","Simpson, Sidney E.","IL","Republican","House",0,80,"Standing","120","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,8,"/parliament-80/chamber-1/committee-8","/parliament-80/chamber-1/committee-8.member-3",46
"47","Hoffman, Clare E.","MI","Republican","House",0,80,"Standing","124","1st",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,9,"/parliament-80/chamber-1/committee-9","/parliament-80/chamber-1/committee-9.member-3",47
"48","Judd, Walter H.","MN","Republican","House",0,80,"Standing","126","Only",1947-01-23,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,10,"/parliament-80/chamber-1/committee-10","/parliament-80/chamber-1/committee-10.member-3",48
"49","Vorys, John M.","OH","Republican","House",0,80,"Standing","132","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,12,"/parliament-80/chamber-1/committee-12","/parliament-80/chamber-1/committee-12.member-3",49
"50","Bishop, Cecil W. (Runt)","IL","Republican","House",0,80,"Standing","142","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,15,"/parliament-80/chamber-1/committee-15","/parliament-80/chamber-1/committee-15.member-3",50
"51","Howell, G. Evan","IL","Republican","House",0,80,"Standing","152","Only",1947-01-14,1947-10-05,"/parliament-80","/parliament-80/chamber-1",3,19,"/parliament-80/chamber-1/committee-19","/parliament-80/chamber-1/committee-19.member-3",51
"52","Reed, Chauncey W.","IL","Republican","House",0,80,"Standing","156","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,20,"/parliament-80/chamber-1/committee-20","/parliament-80/chamber-1/committee-20.member-3",52
"53","Hand, T. Millet II","NJ","Republican","House",0,80,"Standing","160","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,21,"/parliament-80/chamber-1/committee-21","/parliament-80/chamber-1/committee-21.member-3",53
"54","Butler, John C.","NY","Republican","House",1,80,"Standing","168","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,22,"/parliament-80/chamber-1/committee-22","/parliament-80/chamber-1/committee-22.member-3",54
"55","LeCompte, Karl M.","IA","Republican","House",0,80,"Standing","170","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,23,"/parliament-80/chamber-1/committee-23","/parliament-80/chamber-1/committee-23.member-3",55
"56","Bender, George H.","OH","Republican","House",1,80,"Standing","172","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,24,"/parliament-80/chamber-1/committee-24","/parliament-80/chamber-1/committee-24.member-3",56
"57","Wadsworth, James W. Jr.","NY","Republican","House",0,80,"Standing","176","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,26,"/parliament-80/chamber-1/committee-26","/parliament-80/chamber-1/committee-26.member-3",57
"58","McDowell, John R.","PA","Republican","House",2,80,"Standing","188","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,32,"/parliament-80/chamber-1/committee-32","/parliament-80/chamber-1/committee-32.member-3",58
"59","O'Konski, Alvin E.","WI","Republican","House",0,80,"Standing","192","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,33,"/parliament-80/chamber-1/committee-33","/parliament-80/chamber-1/committee-33.member-3",59
"60","Woodruff, Roy O.","MI","Republican","House",2,80,"Standing","196","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",3,34,"/parliament-80/chamber-1/committee-34","/parliament-80/chamber-1/committee-34.member-3",60
"61","Burton, Clarence G.","TX","Democratic","House",0,80,"Standing","790","Inapplicable",1948-11-02,1949-01-02,"/parliament-80","/parliament-80/chamber-1",3,41,"/parliament-80/chamber-1/committee-41","/parliament-80/chamber-1/committee-41.member-3",61
"62","Murray, Reid F.","WI","Republican","House",0,80,"Standing","102","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,1,"/parliament-80/chamber-1/committee-1","/parliament-80/chamber-1/committee-1.member-4",62
"63","Dirksen, Everett McK.","IL","Republican","House",0,80,"Standing","104","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,2,"/parliament-80/chamber-1/committee-2","/parliament-80/chamber-1/committee-2.member-4",63
"64","Cole, W. Sterling","NY","Republican","House",0,80,"Standing","106","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,3,"/parliament-80/chamber-1/committee-3","/parliament-80/chamber-1/committee-3.member-4",64
"65","Kunkel, John C.","PA","Republican","House",1,80,"Standing","111","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,4,"/parliament-80/chamber-1/committee-4","/parliament-80/chamber-1/committee-4.member-4",65
"66","Beall, J. Glenn","MD","Republican","House",0,80,"Standing","120","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,8,"/parliament-80/chamber-1/committee-8","/parliament-80/chamber-1/committee-8.member-4",66
"67","McCowen, Edward O.","OH","Republican","House",0,80,"Standing","124","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,9,"/parliament-80/chamber-1/committee-9","/parliament-80/chamber-1/committee-9.member-4",67
"68","Rich, Robert F.","PA","Republican","House",2,80,"Standing","126","2nd",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,10,"/parliament-80/chamber-1/committee-10","/parliament-80/chamber-1/committee-10.member-4",68
"69","Mundt, Karl E.","SD","Republican","House",0,80,"Standing","132","Only",1947-01-14,1948-12-30,"/parliament-80","/parliament-80/chamber-1",4,12,"/parliament-80/chamber-1/committee-12","/parliament-80/chamber-1/committee-12.member-4",69
"70","Sundstrom, Frank L.","NJ","Republican","House",0,80,"Standing","142","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,15,"/parliament-80/chamber-1/committee-15","/parliament-80/chamber-1/committee-15.member-4",70
"71","Hall, Leonard W.","NY","Republican","House",0,80,"Standing","152","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,19,"/parliament-80/chamber-1/committee-19","/parliament-80/chamber-1/committee-19.member-4",71
"72","Gwynne, John W.","IA","Republican","House",0,80,"Standing","156","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,20,"/parliament-80/chamber-1/committee-20","/parliament-80/chamber-1/committee-20.member-4",72
"73","Latham, Henry J.","NY","Republican","House",0,80,"Standing","160","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,21,"/parliament-80/chamber-1/committee-21","/parliament-80/chamber-1/committee-21.member-4",73
"74","Cole, William C.","MO","Republican","House",1,80,"Standing","168","1st",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,22,"/parliament-80/chamber-1/committee-22","/parliament-80/chamber-1/committee-22.member-4",74
"75","Rockwell, Robert F.","CO","Republican","House",0,80,"Standing","170","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,23,"/parliament-80/chamber-1/committee-23","/parliament-80/chamber-1/committee-23.member-4",75
"76","McGregor, J. Harry","OH","Republican","House",0,80,"Standing","172","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,24,"/parliament-80/chamber-1/committee-24","/parliament-80/chamber-1/committee-24.member-4",76
"77","Harness, Forest A.","IN","Republican","House",0,80,"Standing","176","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,26,"/parliament-80/chamber-1/committee-26","/parliament-80/chamber-1/committee-26.member-4",77
"78","Nixon, Richard M.","CA","Republican","House",0,80,"Standing","188","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,32,"/parliament-80/chamber-1/committee-32","/parliament-80/chamber-1/committee-32.member-4",78
"79","Ramey, Homer A.","OH","Republican","House",0,80,"Standing","192","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,33,"/parliament-80/chamber-1/committee-33","/parliament-80/chamber-1/committee-33.member-4",79
"80","Jenkins, Thomas A.","OH","Republican","House",0,80,"Standing","196","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",4,34,"/parliament-80/chamber-1/committee-34","/parliament-80/chamber-1/committee-34.member-4",80
"81","Jones, Paul C.","MO","Democratic","House",0,80,"Standing","790","Inapplicable",1948-11-02,1949-01-02,"/parliament-80","/parliament-80/chamber-1",4,41,"/parliament-80/chamber-1/committee-41","/parliament-80/chamber-1/committee-41.member-4",81
"82","Clevenger, Cliff","OH","Republican","House",0,80,"Standing","102","Only",1947-01-14,1947-07-23,"/parliament-80","/parliament-80/chamber-1",5,1,"/parliament-80/chamber-1/committee-1","/parliament-80/chamber-1/committee-1.member-5",82
"83","Engel, Albert J.","MI","Republican","House",0,80,"Standing","104","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,2,"/parliament-80/chamber-1/committee-2","/parliament-80/chamber-1/committee-2.member-5",83
"84","Clason, Charles R.","NY","Republican","House",0,80,"Standing","106","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,3,"/parliament-80/chamber-1/committee-3","/parliament-80/chamber-1/committee-3.member-5",84
"85","Talle, Henry O.","IA","Republican","House",0,80,"Standing","111","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,4,"/parliament-80/chamber-1/committee-4","/parliament-80/chamber-1/committee-4.member-5",85
"86","O'Hara, Joseph P.","MN","Republican","House",0,80,"Standing","120","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,8,"/parliament-80/chamber-1/committee-8","/parliament-80/chamber-1/committee-8.member-5",86
"87","Schwabe, Max","MO","Republican","House",0,80,"Standing","124","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,9,"/parliament-80/chamber-1/committee-9","/parliament-80/chamber-1/committee-9.member-5",87
"88","Latham, Henry J.","NY","Republican","House",0,80,"Standing","126","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,10,"/parliament-80/chamber-1/committee-10","/parliament-80/chamber-1/committee-10.member-5",88
"89","Jonkman, Bartel J.","MI","Republican","House",0,80,"Standing","132","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,12,"/parliament-80/chamber-1/committee-12","/parliament-80/chamber-1/committee-12.member-5",89
"90","Vursell, Charles W.","IL","Republican","House",0,80,"Standing","142","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,15,"/parliament-80/chamber-1/committee-15","/parliament-80/chamber-1/committee-15.member-5",90
"91","O'Hara, Joseph P.","MN","Republican","House",0,80,"Standing","152","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,19,"/parliament-80/chamber-1/committee-19","/parliament-80/chamber-1/committee-19.member-5",91
"92","Graham, Louis E.","PA","Republican","House",0,80,"Standing","156","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,20,"/parliament-80/chamber-1/committee-20","/parliament-80/chamber-1/committee-20.member-5",92
"93","Potts, David M.","NY","Republican","House",0,80,"Standing","160","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,21,"/parliament-80/chamber-1/committee-21","/parliament-80/chamber-1/committee-21.member-5",93
"94","Vursell, Charles W.","IL","Republican","House",0,80,"Standing","168","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,22,"/parliament-80/chamber-1/committee-22","/parliament-80/chamber-1/committee-22.member-5",94
"95","Lemke, William","ND","Republican","House",2,80,"Standing","170","2nd",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,23,"/parliament-80/chamber-1/committee-23","/parliament-80/chamber-1/committee-23.member-5",95
"96","Cunningham, Paul","IA","Republican","House",0,80,"Standing","172","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,24,"/parliament-80/chamber-1/committee-24","/parliament-80/chamber-1/committee-24.member-5",96
"97","Chenoweth, J. Edgar","CO","Republican","House",1,80,"Standing","176","1st",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,26,"/parliament-80/chamber-1/committee-26","/parliament-80/chamber-1/committee-26.member-5",97
"98","Vail, Richard B.","IL","Republican","House",1,80,"Standing","188","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,32,"/parliament-80/chamber-1/committee-32","/parliament-80/chamber-1/committee-32.member-5",98
"99","Mathews, Frank A. Jr.","NJ","Republican","House",0,80,"Standing","192","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,33,"/parliament-80/chamber-1/committee-33","/parliament-80/chamber-1/committee-33.member-5",99
"100","Gearhart, Bertrand W.","CA","Republican","House",0,80,"Standing","196","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",5,34,"/parliament-80/chamber-1/committee-34","/parliament-80/chamber-1/committee-34.member-5",100
"101","Lewis, William","KY","Republican","House",0,80,"Standing","790","Inapplicable",1948-04-24,1949-01-02,"/parliament-80","/parliament-80/chamber-1",5,41,"/parliament-80/chamber-1/committee-41","/parliament-80/chamber-1/committee-41.member-5",101
"102","Gillie, George W.","IN","Republican","House",0,80,"Standing","102","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,1,"/parliament-80/chamber-1/committee-1","/parliament-80/chamber-1/committee-1.member-6",102
"103","Stefan, Karl","NE","Republican","House",0,80,"Standing","104","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,2,"/parliament-80/chamber-1/committee-2","/parliament-80/chamber-1/committee-2.member-6",103
"104","Thomas, J. Parnell","NJ","Republican","House",0,80,"Standing","106","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,3,"/parliament-80/chamber-1/committee-3","/parliament-80/chamber-1/committee-3.member-6",104
"105","Sundstrom, Frank L.","NJ","Republican","House",0,80,"Standing","111","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,4,"/parliament-80/chamber-1/committee-4","/parliament-80/chamber-1/committee-4.member-6",105
"106","Talle, Henry O.","IA","Republican","House",0,80,"Standing","120","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,8,"/parliament-80/chamber-1/committee-8","/parliament-80/chamber-1/committee-8.member-6",106
"107","McConnell, Samuel K. Jr.","PA","Republican","House",0,80,"Standing","124","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,9,"/parliament-80/chamber-1/committee-9","/parliament-80/chamber-1/committee-9.member-6",107
"108","Wadsworth, James W. Jr.","NY","Republican","House",0,80,"Standing","126","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,10,"/parliament-80/chamber-1/committee-10","/parliament-80/chamber-1/committee-10.member-6",108
"109","Bolton, Frances P.","OH","Republican","House",0,80,"Standing","132","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,12,"/parliament-80/chamber-1/committee-12","/parliament-80/chamber-1/committee-12.member-6",109
"110","Landis, Gerald W.","IN","Republican","House",0,80,"Standing","142","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,15,"/parliament-80/chamber-1/committee-15","/parliament-80/chamber-1/committee-15.member-6",110
"111","Gillette, Wilson D.","PA","Republican","House",0,80,"Standing","152","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,19,"/parliament-80/chamber-1/committee-19","/parliament-80/chamber-1/committee-19.member-6",111
"112","Springer, Raymond S.","IN","Republican","House",0,80,"Standing","156","Only",1947-01-14,1947-08-28,"/parliament-80","/parliament-80/chamber-1",6,20,"/parliament-80/chamber-1/committee-20","/parliament-80/chamber-1/committee-20.member-6",112
"113","Bradley, Willis W.","CA","Republican","House",0,80,"Standing","160","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,21,"/parliament-80/chamber-1/committee-21","/parliament-80/chamber-1/committee-21.member-6",113
"114","Hagen, Harold C.","MN","Republican","House",0,80,"Standing","168","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,22,"/parliament-80/chamber-1/committee-22","/parliament-80/chamber-1/committee-22.member-6",114
"115","Barrett, Frank A.","WY","Republican","House",0,80,"Standing","170","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",6,23,"/parliament-80/chamber-1/committee-23","/parliament-80/chamber-1/committee-23.member-6",115
